0.01	-26.7618	-26.7618	-26.7618	-26.7618	-26.7618	-26.7618	-26.7618
0.02	-32.5014	-32.5014	-32.5014	-32.5014	-32.5014	-32.5014	-32.5014
0.03	-37.3741	-37.3741	-37.3741	-37.3741	-37.3741	-37.3741	-37.3741
0.04	-41.514	-41.514	-41.514	-41.514	-41.514	-41.514	-41.514
0.05	-45.0363	-45.0363	-45.0363	-45.0363	-45.0363	-45.0363	-45.0363
0.06	-48.0396	-48.0396	-48.0396	-48.0396	-48.0396	-48.0396	-48.0396
0.07	-50.6082	-50.6082	-50.6082	-50.6082	-50.6082	-50.6082	-50.6082
0.08	-52.8132	-52.8132	-52.8132	-52.8132	-52.8132	-52.8132	-52.8132
0.09	-54.715	-54.715	-54.715	-54.715	-54.715	-54.715	-54.715
0.1	-56.3639	-56.3639	-56.3639	-56.3639	-56.3639	-56.3639	-56.3639
0.11	-57.8022	-57.8022	-57.8022	-57.8022	-57.8022	-57.8022	-57.8022
0.12	-59.0648	-59.0648	-59.0648	-59.0648	-59.0648	-59.0648	-59.0648
0.13	-60.1804	-60.1804	-60.1804	-60.1804	-60.1804	-60.1804	-60.1804
0.14	-61.1727	-61.1727	-61.1727	-61.1727	-61.1727	-61.1727	-61.1727
0.15	-62.061	-62.061	-62.061	-62.061	-62.061	-62.061	-62.061
0.16	-62.8609	-62.8609	-62.8609	-62.8609	-62.8609	-62.8609	-62.8609
0.17	-63.5851	-63.5851	-63.5851	-63.5851	-63.5851	-63.5851	-63.5851
0.18	-64.2439	-64.2439	-64.2439	-64.2439	-64.2439	-64.2439	-64.2439
0.19	-64.8453	-64.8453	-64.8453	-64.8453	-64.8453	-64.8453	-64.8453
0.2	-65.3961	-65.3961	-65.3961	-65.3961	-65.3961	-65.3961	-65.3961
0.21	-65.9017	-65.9017	-65.9017	-65.9017	-65.9017	-65.9017	-65.9017
0.22	-66.3665	-66.3665	-66.3665	-66.3665	-66.3665	-66.3665	-66.3665
0.23	-66.7941	-66.7941	-66.7941	-66.7941	-66.7941	-66.7941	-66.7941
0.24	-67.1875	-67.1875	-67.1875	-67.1875	-67.1875	-67.1875	-67.1875
0.25	-67.5495	-67.5495	-67.5495	-67.5495	-67.5495	-67.5495	-67.5495
0.26	-67.8822	-67.8822	-67.8822	-67.8822	-67.8822	-67.8822	-67.8822
0.27	-68.1877	-68.1877	-68.1877	-68.1877	-68.1877	-68.1877	-68.1877
0.28	-68.4677	-68.4677	-68.4677	-68.4677	-68.4677	-68.4677	-68.4677
0.29	-68.7241	-68.7241	-68.7241	-68.7241	-68.7241	-68.7241	-68.7241
